,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
17,Adams,PA,0.663,0.299,47138.0,31249.0,14077.0,0.663,0.322,56627.0,37563.0,18250.0,39.87140411,-77.21610347,1184.0,31.0,101589.0,50055.0,51534.0,6.8,89.5,1.4,0.0,0.7,0.0,78227.0,62661.0,1660.0,29685.0,663.0,8.8,13.9,30.1,16.2,22.1,11.0,20.6,82.3,9.1,0.3,3.7,0.9,3.8,27.6,50561.0,83.4,10.7,5.6,0.2,4.9
18,Adams,WA,0.671,0.274,4081.0,2740.0,1118.0,0.675,0.306,5109.0,3449.0,1562.0,46.98299757,-118.56017340000001,935.0,11.0,19261.0,9750.0,9511.0,62.3,35.2,0.3,0.4,1.0,0.0,8899.0,48131.0,5933.0,18415.0,867.0,23.1,31.6,22.8,13.9,14.1,29.2,19.9,71.3,18.6,0.2,2.2,1.9,5.7,17.8,7757.0,81.2,14.6,3.8,0.3,5.9
19,Adams,WI,0.592,0.374,10107.0,5983.0,3780.0,0.623,0.366,11818.0,7362.0,4329.0,43.96974651,-89.76782777,587.0,5.0,20111.0,10770.0,9341.0,3.8,90.7,2.7,0.6,0.5,0.0,16837.0,44003.0,1500.0,24874.0,1297.0,13.0,23.3,23.6,22.7,21.8,12.5,19.4,78.5,12.2,0.1,1.5,1.7,6.0,28.3,7530.0,80.7,11.9,7.3,0.2,8.1
20,Addison,VT,0.301,0.638,17592.0,5297.0,11217.0,0.436,0.511,870.0,379.0,445.0,44.03217337,-73.14130877,124.0,2.0,36825.0,18214.0,18611.0,2.2,93.0,0.9,0.3,1.9,0.0,29510.0,61875.0,2338.0,31051.0,1033.0,7.8,9.0,40.8,16.4,18.2,13.1,11.5,72.5,8.6,0.7,7.6,1.2,9.4,23.8,19872.0,77.9,10.3,11.5,0.3,4.4
21,Aiken,SC,0.615,0.34,74773.0,45981.0,25426.0,0.606,0.379,85185.0,51589.0,32275.0,33.54338026,-81.63645384,5140.0,87.0,165707.0,80260.0,85447.0,5.5,66.7,24.5,0.2,1.0,0.0,124553.0,47713.0,1780.0,26222.0,719.0,16.7,26.6,34.0,16.9,22.9,10.7,15.5,84.6,10.4,0.2,1.0,0.9,2.9,24.9,70753.0,78.1,16.4,5.0,0.4,9.0
22,Aitkin,MN,0.601,0.341,9185.0,5516.0,3134.0,0.625,0.36,10010.0,6258.0,3607.0,46.60962049,-93.41168259999999,232.0,3.0,15841.0,8079.0,7762.0,1.3,94.1,0.5,2.2,0.4,0.0,13155.0,45860.0,1405.0,26883.0,743.0,12.1,15.9,30.7,19.9,23.1,13.2,13.0,79.4,9.1,0.5,4.1,1.5,5.4,26.0,6274.0,75.8,15.7,8.4,0.1,6.2
23,Alachua,FL,0.364,0.59,127827.0,46584.0,75370.0,0.356,0.627,142784.0,50891.0,89527.0,29.67866525,-82.35928158,10706.0,78.0,259865.0,125712.0,134153.0,9.3,62.0,19.8,0.3,5.9,0.1,200490.0,45478.0,1546.0,26431.0,711.0,23.3,22.0,46.1,19.2,23.3,5.3,6.2,74.7,8.8,4.1,3.3,4.6,4.5,21.2,120466.0,70.2,25.5,4.2,0.1,6.6
24,Alamance,NC,0.552,0.423,69264.0,38235.0,29268.0,0.537,0.451,84710.0,45490.0,38186.0,36.0434701,-79.39976137,5409.0,88.0,157844.0,75078.0,82766.0,12.3,65.0,18.9,0.3,1.5,0.0,113344.0,44281.0,1192.0,25157.0,738.0,17.6,26.1,33.0,17.4,23.0,10.3,16.2,85.1,9.3,0.2,1.3,1.1,2.9,23.6,73906.0,81.0,13.2,5.6,0.2,6.0
25,Alameda,CA,0.151,0.795,424517.0,64010.0,337524.0,0.176,0.804,750128.0,131985.0,602851.0,37.64629437,-121.8929271,23994.0,464.0,1629615.0,799649.0,829966.0,22.5,32.2,10.7,0.3,28.7,0.8,1056116.0,85743.0,940.0,41363.0,335.0,11.3,13.0,48.0,16.0,20.4,6.4,9.2,62.0,10.1,14.6,3.7,3.6,6.0,32.5,826310.0,79.3,13.2,7.3,0.1,6.0
26,Alamosa,CO,0.439,0.459,6897.0,3031.0,3168.0,0.489,0.482,7519.0,3676.0,3624.0,37.57250606,-105.7885451,360.0,9.0,16345.0,8085.0,8260.0,45.8,48.6,1.6,1.3,1.0,0.2,11257.0,36315.0,4688.0,19217.0,1603.0,27.8,33.8,30.6,22.6,22.3,13.1,11.4,75.8,15.7,0.0,4.2,1.4,2.9,14.6,6593.0,73.1,18.2,6.3,2.3,9.9
27,Albany,NY,0.352,0.595,125644.0,44227.0,74775.0,0.375,0.602,121529.0,45570.0,73189.0,42.60060306,-73.97723916,3750.0,140.0,308580.0,149287.0,159293.0,5.7,73.0,11.7,0.1,6.4,0.0,238354.0,62293.0,1234.0,35278.0,565.0,12.4,15.0,44.7,17.3,25.1,5.5,7.5,77.0,7.5,5.9,4.6,1.6,3.5,20.4,158961.0,71.3,24.5,4.2,0.1,5.3
28,Albany,WY,0.463,0.419,16420.0,7601.0,6888.0,0.461,0.488,18617.0,8579.0,9092.0,41.65498705,-105.72354150000001,1562.0,4.0,37944.0,19883.0,18061.0,9.3,82.9,1.3,0.7,2.9,0.0,30057.0,45816.0,1840.0,26034.0,1146.0,23.0,11.8,42.1,20.8,19.2,10.1,7.8,70.1,9.7,2.1,8.8,4.7,4.7,12.7,21115.0,61.4,32.8,5.7,0.1,4.8
29,Albemarle,VA,0.343,0.593,56134.0,19232.0,33297.0,0.324,0.661,64284.0,20804.0,42466.0,38.02080697,-78.55481085,1612.0,24.0,105105.0,50283.0,54822.0,5.7,77.2,9.5,0.2,5.0,0.0,78224.0,72265.0,2910.0,39273.0,1293.0,9.8,11.0,54.0,15.5,18.7,6.2,5.6,76.9,8.6,1.8,3.4,1.8,7.6,21.9,50689.0,68.0,24.5,7.2,0.3,3.2
30,Alcona,MI,0.68,0.28,6179.0,4201.0,1732.0,0.686,0.303,7063.0,4848.0,2142.0,44.6846864,-83.59507875,55.0,3.0,10413.0,5247.0,5166.0,1.4,96.0,0.3,0.5,0.4,0.0,8984.0,39424.0,1705.0,24463.0,1059.0,14.9,21.7,23.5,20.9,22.9,13.2,19.6,80.8,9.6,0.2,1.8,2.3,5.3,24.0,3357.0,78.3,14.0,7.5,0.2,9.3
31,Alcorn,MS,0.799,0.182,14781.0,11817.0,2684.0,0.811,0.175,15639.0,12689.0,2741.0,34.88084463,-88.57996173,1130.0,12.0,37242.0,18345.0,18897.0,3.0,83.2,11.7,0.0,0.3,0.0,27984.0,38919.0,1799.0,20527.0,1028.0,19.6,24.1,29.2,14.9,22.8,10.6,22.5,85.9,10.6,0.3,1.0,0.5,1.7,22.4,14884.0,81.1,13.9,5.0,0.1,8.6
32,Alexander,IL,0.53,0.448,2820.0,1496.0,1262.0,0.543,0.448,5631.0,3056.0,2522.0,37.18049267,-89.32910838,154.0,2.0,6776.0,3258.0,3518.0,1.0,61.8,34.6,0.6,0.2,0.0,5100.0,31014.0,2759.0,18564.0,1678.0,33.4,59.3,26.8,27.8,25.9,4.9,14.6,87.7,5.8,0.8,1.7,1.4,2.6,27.3,2164.0,75.0,20.6,4.4,0.0,8.2
33,Alexander,NC,0.768,0.208,18011.0,13826.0,3750.0,0.786,0.204,20120.0,15806.0,4113.0,35.922379600000006,-81.17751948,975.0,10.0,37159.0,18797.0,18362.0,4.6,87.0,5.9,0.2,1.2,0.1,28548.0,44523.0,2886.0,22655.0,1043.0,14.7,23.6,26.8,12.6,20.6,9.4,30.7,84.9,8.9,0.0,0.8,2.6,2.8,25.6,16393.0,83.2,10.5,6.2,0.2,6.7
34,Alexandria city,VA,0.178,0.768,74384.0,13241.0,57147.0,0.178,0.81,81806.0,14544.0,66240.0,,,,,154710.0,74501.0,80209.0,16.7,51.8,21.7,0.1,6.1,0.0,103194.0,93370.0,1553.0,57019.0,1089.0,10.5,17.7,58.5,16.0,16.1,4.7,4.6,58.2,8.3,21.9,3.5,2.9,5.2,31.8,95344.0,70.1,25.0,4.9,0.0,3.9
35,Alfalfa,OK,0.856,0.096,2256.0,1931.0,216.0,0.874,0.103,2262.0,1978.0,232.0,36.73090616,-98.32408495,132.0,0.0,5877.0,3502.0,2375.0,5.0,76.2,2.4,1.9,0.0,0.0,4597.0,57432.0,4840.0,28007.0,3779.0,11.2,16.0,31.6,15.8,18.9,20.0,13.8,77.2,11.9,0.0,4.9,2.5,3.5,18.8,2238.0,64.7,21.2,13.8,0.3,4.5
36,Alger,MI,0.573,0.368,4513.0,2585.0,1663.0,0.587,0.4,5135.0,3014.0,2053.0,46.41292944,-86.60260122,121.0,1.0,9254.0,5088.0,4166.0,1.4,84.2,7.2,3.3,0.1,0.0,7779.0,42647.0,5475.0,21771.0,1475.0,13.0,16.6,27.9,23.2,23.1,8.1,17.7,72.9,11.1,2.0,4.3,1.8,8.0,21.3,3160.0,77.1,17.6,5.3,0.0,6.9
37,Allamakee,IA,0.596,0.352,6837.0,4072.0,2409.0,0.635,0.345,7459.0,4733.0,2575.0,43.28383218,-91.37860922,431.0,9.0,13940.0,7098.0,6842.0,6.1,91.2,0.9,0.1,0.3,0.0,10379.0,47895.0,3365.0,27377.0,1746.0,11.4,15.3,29.8,15.3,17.5,17.5,19.9,74.1,11.1,0.2,5.0,2.1,7.5,24.3,6881.0,77.8,10.3,10.8,1.1,3.3
38,Allegan,MI,0.613,0.325,55153.0,33812.0,17932.0,0.616,0.364,67182.0,41381.0,24447.0,42.59147037,-85.89102866,1503.0,7.0,114145.0,56997.0,57148.0,7.2,88.7,1.3,0.5,0.6,0.0,84358.0,58487.0,1264.0,27172.0,539.0,10.8,14.3,30.3,14.7,20.1,12.4,22.5,86.0,7.6,0.3,1.4,0.7,4.1,23.9,54028.0,86.3,7.7,5.9,0.2,3.6
39,Allegany,MD,0.72,0.24,27804.0,20025.0,6665.0,0.694,0.291,29130.0,20213.0,8464.0,39.62357628,-78.69280486,775.0,24.0,72591.0,37892.0,34699.0,1.7,87.3,8.0,0.2,0.8,0.0,58846.0,42771.0,1485.0,22355.0,683.0,16.8,22.9,29.9,23.4,24.8,8.8,13.1,82.5,9.7,0.5,4.4,1.2,1.7,20.9,28738.0,73.6,22.6,3.7,0.0,9.0
40,Allegany,NY,0.684,0.261,17111.0,11712.0,4473.0,0.734,0.242,17271.0,12670.0,4188.0,42.25748406,-78.02750466,348.0,8.0,47400.0,24013.0,23387.0,1.5,94.5,1.4,0.3,1.2,0.0,37152.0,45359.0,1489.0,22377.0,581.0,16.5,25.7,31.4,22.2,19.2,10.5,16.6,75.1,7.8,0.6,12.4,1.3,2.8,21.4,20132.0,73.6,19.3,6.8,0.3,7.3
41,Alleghany,NC,0.727,0.249,5214.0,3789.0,1300.0,0.745,0.245,6040.0,4501.0,1480.0,36.49360862,-81.12857041,316.0,1.0,10935.0,5445.0,5490.0,9.4,87.3,2.4,0.1,0.2,0.0,8492.0,38944.0,2715.0,21153.0,1201.0,21.0,35.2,29.7,18.0,22.6,15.3,14.4,82.2,10.5,0.2,2.5,0.4,4.2,25.0,4447.0,70.6,16.9,12.4,0.2,5.7
42,Alleghany,VA,0.667,0.296,7306.0,4873.0,2165.0,0.715,0.274,8191.0,5859.0,2243.0,37.78636074,-80.00222498,154.0,4.0,15489.0,7586.0,7903.0,1.4,91.9,5.5,0.0,0.1,0.1,12369.0,46020.0,4009.0,25952.0,1320.0,19.3,25.7,28.3,16.4,22.4,13.2,19.7,86.6,7.7,0.5,0.7,1.7,2.7,24.6,6225.0,81.6,12.2,6.0,0.2,4.4
43,Allegheny,PA,0.4,0.564,643173.0,257488.0,363017.0,0.39,0.595,707837.0,275955.0,421004.0,40.46809875,-79.98167747,15940.0,419.0,1229605.0,593177.0,636428.0,2.0,79.1,12.7,0.1,3.5,0.0,961881.0,56333.0,474.0,35280.0,259.0,12.5,16.9,45.0,16.8,23.7,6.1,8.3,72.0,8.4,9.2,4.2,1.5,4.7,26.7,622670.0,86.7,8.6,4.6,0.1,5.9
44,Allen,IN,0.575,0.379,145787.0,83801.0,55222.0,0.544,0.431,168964.0,91885.0,72825.0,41.09194313,-85.06800636,9638.0,237.0,367747.0,179414.0,188333.0,7.2,74.6,11.3,0.2,3.5,0.0,260663.0,51091.0,655.0,26932.0,523.0,14.7,22.0,33.7,16.5,24.3,7.6,17.9,84.3,8.7,0.8,1.2,0.9,4.0,21.3,176365.0,87.2,8.6,4.1,0.1,6.3
45,Allen,KS,0.673,0.263,5314.0,3575.0,1398.0,0.711,0.267,5842.0,4155.0,1559.0,37.88582951,-95.30030847,112.0,1.0,12752.0,6318.0,6434.0,3.3,90.7,1.5,0.1,0.6,0.1,9728.0,43031.0,2171.0,23011.0,1282.0,14.2,18.2,27.5,15.6,20.7,8.6,27.5,80.9,10.7,0.9,3.5,0.7,3.3,17.4,6006.0,75.3,15.9,8.4,0.4,3.6
46,Allen,KY,0.799,0.167,8091.0,6466.0,1349.0,0.81,0.175,9363.0,7586.0,1642.0,36.75197631,-86.19457544,566.0,11.0,20628.0,10227.0,10401.0,1.9,95.4,1.9,0.0,0.2,0.0,15597.0,40598.0,2927.0,21652.0,1505.0,20.0,27.9,24.5,16.6,21.8,13.5,23.7,77.9,11.0,0.2,2.5,1.6,6.9,24.1,8443.0,74.8,13.9,11.3,0.1,7.5
47,Allen,OH,0.669,0.287,44636.0,29858.0,12815.0,0.691,0.294,46362.0,32052.0,13611.0,40.77285242,-84.10802343,2580.0,80.0,104157.0,52614.0,51543.0,2.9,81.2,11.7,0.2,0.7,0.0,79167.0,47905.0,1708.0,24551.0,743.0,15.0,20.9,28.2,18.4,21.8,8.5,23.2,86.4,8.1,0.7,1.6,1.2,2.0,18.9,48351.0,86.1,9.8,4.0,0.1,7.2
48,Allen,LA,0.743,0.228,9245.0,6867.0,2106.0,0.772,0.215,9810.0,7574.0,2108.0,30.65385745,-92.82442028,1856.0,63.0,25667.0,14542.0,11125.0,4.9,71.1,19.0,1.8,0.7,0.0,19205.0,42176.0,3540.0,20103.0,1700.0,16.6,22.4,29.1,23.1,21.3,15.0,11.5,84.3,9.8,0.7,0.7,2.2,2.3,28.3,8577.0,72.8,23.8,3.2,0.2,9.4
49,Allendale,SC,0.22,0.761,3578.0,788.0,2722.0,0.232,0.756,3593.0,835.0,2718.0,32.98837386,-81.35321066,424.0,7.0,9402.0,4952.0,4450.0,3.1,22.5,73.5,0.5,0.0,0.0,7492.0,23331.0,2177.0,13439.0,1150.0,30.4,52.7,20.3,24.0,18.8,13.9,22.9,80.4,10.7,2.2,4.1,1.0,1.6,28.3,2668.0,71.0,23.4,5.7,0.0,17.3
50,Alpena,MI,0.619,0.332,14688.0,9090.0,4877.0,0.63,0.354,16966.0,10686.0,6000.0,45.03477666,-83.62212411,180.0,14.0,28730.0,14169.0,14561.0,1.3,96.0,0.5,0.4,0.4,0.1,23062.0,40954.0,1521.0,24030.0,751.0,15.0,19.1,29.5,19.8,26.1,10.0,14.6,82.9,8.4,0.7,2.7,1.2,3.9,16.9,12665.0,83.0,10.4,6.4,0.2,6.4
51,Alpine,CA,0.367,0.553,575.0,211.0,318.0,0.323,0.643,736.0,238.0,473.0,38.59678594,-119.82235940000001,8.0,0.0,1203.0,664.0,539.0,9.7,64.6,1.5,20.6,0.7,0.0,936.0,63438.0,4535.0,27448.0,6258.0,19.8,17.3,38.2,21.9,18.7,12.8,8.3,62.1,13.2,0.0,9.1,1.6,14.0,21.9,374.0,58.6,30.2,11.2,0.0,14.6
52,Amador,CA,0.604,0.34,10049.0,6069.0,3420.0,0.609,0.366,22282.0,13571.0,8147.0,38.44583082,-120.65696000000001,347.0,16.0,37306.0,20005.0,17301.0,13.2,79.3,2.0,0.7,1.5,0.2,30677.0,60636.0,2765.0,29628.0,1631.0,10.6,20.3,32.7,23.2,24.1,9.9,10.1,80.7,9.2,0.1,2.5,1.1,6.4,32.0,13444.0,63.9,21.0,14.7,0.4,9.3
53,Amelia,VA,0.669,0.306,7035.0,4704.0,2150.0,0.684,0.306,7881.0,5390.0,2411.0,37.34081025,-77.98584649,150.0,6.0,12802.0,6644.0,6158.0,1.1,72.4,23.7,0.3,0.1,0.0,10049.0,58535.0,5713.0,26118.0,1734.0,13.0,18.9,25.8,18.6,27.4,17.2,11.1,86.7,6.0,1.1,1.6,1.8,2.7,38.0,6166.0,76.1,15.8,6.7,1.3,3.3
54,Amherst,VA,0.636,0.329,15164.0,9643.0,4986.0,0.622,0.32,17719.0,11020.0,5673.0,37.60308293,-79.14548696,626.0,6.0,31819.0,15331.0,16488.0,2.3,75.5,17.6,0.2,0.6,0.0,25212.0,49677.0,3603.0,24296.0,1374.0,13.4,20.6,27.9,20.3,24.7,9.8,17.4,82.6,10.6,0.6,1.3,2.3,2.6,24.1,14506.0,78.6,16.2,5.0,0.1,5.6
55,Amite,MS,0.609,0.382,7033.0,4282.0,2688.0,0.633,0.354,5974.0,3781.0,2114.0,31.17467303,-90.80501621,436.0,13.0,12574.0,6133.0,6441.0,0.2,57.3,42.0,0.0,0.3,0.0,9902.0,30129.0,3714.0,19665.0,1493.0,22.8,29.5,24.4,19.2,16.5,19.2,20.6,81.2,12.1,2.2,0.4,1.4,2.7,37.1,4550.0,71.8,17.3,10.2,0.7,10.8
56,Anderson,KS,0.728,0.203,3277.0,2386.0,665.0,0.773,0.206,3720.0,2874.0,765.0,38.21413251,-95.29272815,203.0,0.0,7840.0,3849.0,3991.0,0.7,95.2,0.2,3.5,0.0,0.0,5849.0,40986.0,4317.0,21887.0,1627.0,13.6,21.9,28.4,23.1,17.1,15.0,16.3,77.6,11.8,0.0,2.5,1.4,6.7,24.2,3502.0,72.3,12.0,14.7,1.0,4.2
57,Anderson,KY,0.722,0.231,11420.0,8242.0,2634.0,0.728,0.252,13261.0,9651.0,3339.0,38.00671029,-84.99171713,280.0,1.0,22017.0,10639.0,11378.0,1.7,94.2,2.4,0.0,0.7,0.0,16456.0,51681.0,3353.0,24991.0,1272.0,12.0,15.2,31.8,14.7,27.6,9.4,16.6,86.4,10.7,0.0,0.5,0.2,2.1,26.6,10357.0,69.3,24.1,6.5,0.1,6.3
58,Anderson,SC,0.699,0.262,80296.0,56109.0,21040.0,0.703,0.283,96093.0,67565.0,27169.0,34.51828081,-82.63959517,6051.0,209.0,194174.0,93474.0,100700.0,3.5,77.6,16.0,0.2,0.9,0.0,146429.0,45551.0,877.0,24485.0,549.0,15.6,22.5,32.3,16.6,23.7,9.9,17.5,86.1,8.4,0.2,1.2,1.2,2.8,22.9,85591.0,80.7,13.4,5.8,0.2,6.7
59,Anderson,TN,0.646,0.303,29723.0,19201.0,9010.0,0.652,0.33,35527.0,23163.0,11733.0,36.12684348,-84.19965764,1869.0,16.0,75538.0,36803.0,38735.0,2.7,89.6,3.4,0.1,1.4,0.1,58291.0,47206.0,2109.0,26972.0,1169.0,16.3,24.8,33.6,19.0,23.6,10.1,13.7,86.8,8.4,0.1,0.8,0.9,3.0,23.3,32213.0,76.1,17.0,6.8,0.1,6.9
